,Date,Prediction
0,2022-6-3,3557.412
1,2022-6-4,3956.548
2,2022-6-5,3824.2886
3,2022-6-6,3865.689
4,2022-6-7,3868.6543
5,2022-6-8,3885.7888
6,2022-6-9,3901.1575
